exchange,symbol,expiry,strike,call_gex,put_gex,call_oi,put_oi,spot_price
Binance,BTC,2026-04-15,72500.0,0.0,-38598672.312415436,0.0,115.8,75227.08891304
Binance,BTC,2026-04-15,73000.0,0.0,-12067793.729791583,0.0,23.55,75227.08891304
Binance,BTC,2026-04-15,73500.0,0.0,-22102513.64523707,0.0,29.51,75227.08891304
Binance,BTC,2026-04-15,74000.0,27126851.857550807,-52676473.304194905,34.58,50.74,75227.08891304
Binance,BTC,2026-04-15,74500.0,27222255.48028769,0.0,20.22,0.0,75227.08891304
Binance,BTC,2026-04-15,75000.0,70779724.9657292,0.0,48.410000000000004,0.0,75227.08891304
Binance,BTC,2026-04-15,75500.0,141471668.00467736,0.0,96.91,0.0,75227.08891304
Binance,BTC,2026-04-15,76000.0,59405707.03241025,0.0,45.77,0.0,75227.08891304
Binance,BTC,2026-04-15,77000.0,23605144.471625548,0.0,30.25,0.0,75227.08891304
Binance,BTC,2026-04-15,78000.0,10789165.38509442,0.0,27.310000000000002,0.0,75227.08891304
Binance,BTC,2026-04-16,75000.0,72884401.86325061,0.0,72.16,0.0,75227.08891304
Binance,BTC,2026-04-16,76000.0,38015140.60161004,0.0,39.160000000000004,0.0,75227.08891304
Binance,BTC,2026-04-16,77000.0,10539355.641695764,0.0,13.86,0.0,75227.08891304
Binance,BTC,2026-04-17,70000.0,0.0,-13020482.521901194,0.0,71.52,75227.08891304
Binance,BTC,2026-04-17,71000.0,0.0,-11654836.796846839,0.0,42.35,75227.08891304
Binance,BTC,2026-04-17,72000.0,0.0,-14366435.658904502,0.0,35.65,75227.08891304
Binance,BTC,2026-04-17,73000.0,24535255.658904865,-22720293.18763259,43.39,40.83,75227.08891304
Binance,BTC,2026-04-17,74000.0,35356483.32541259,-13583994.547813952,51.57,19.52,75227.08891304
Binance,BTC,2026-04-17,75000.0,35790811.90580109,0.0,44.68,0.0,75227.08891304
Binance,BTC,2026-04-17,76000.0,147552230.77995798,0.0,187.04,0.0,75227.08891304
Binance,BTC,2026-04-17,78000.0,73920717.09406555,0.0,141.0,0.0,75227.08891304
Binance,BTC,2026-04-17,80000.0,83289259.58461358,0.0,360.64,0.0,75227.08891304
Binance,BTC,2026-04-24,60000.0,0.0,-11433795.729986008,0.0,368.69,75227.08891304
Binance,BTC,2026-04-24,65000.0,0.0,-14549181.495194197,0.0,163.13,75227.08891304
Binance,BTC,2026-04-24,68000.0,0.0,-18181515.522954363,0.0,109.39,75227.08891304
Binance,BTC,2026-04-24,69000.0,0.0,-15028716.783188935,0.0,75.04,75227.08891304
Binance,BTC,2026-04-24,70000.0,0.0,-16052130.363840414,0.0,66.82000000000001,75227.08891304
Binance,BTC,2026-04-24,71000.0,23907606.05420121,-18287146.864061456,93.61,64.5,75227.08891304
Binance,BTC,2026-04-24,72000.0,26373173.197971687,-14150209.367005974,72.5,43.26,75227.08891304
Binance,BTC,2026-04-24,73000.0,23843621.271512784,0.0,63.32,0.0,75227.08891304
Binance,BTC,2026-04-24,74000.0,26719907.16828255,-22307039.15115527,64.75,55.620000000000005,75227.08891304
Binance,BTC,2026-04-24,75000.0,37860469.06845916,-81079538.19620088,87.74,192.08,75227.08891304
Binance,BTC,2026-04-24,76000.0,59300454.28609038,0.0,136.07,0.0,75227.08891304
Binance,BTC,2026-04-24,78000.0,134754475.1752482,-17700131.402119722,338.43,44.04,75227.08891304
Binance,BTC,2026-04-24,80000.0,186242773.1637628,0.0,602.2,0.0,75227.08891304
Binance,BTC,2026-04-24,81000.0,14345620.868367527,0.0,55.64,0.0,75227.08891304
Binance,BTC,2026-04-24,82000.0,28694994.861740936,0.0,138.92000000000002,0.0,75227.08891304
Binance,BTC,2026-04-24,84000.0,10755841.121057,0.0,81.05,0.0,75227.08891304
Binance,BTC,2026-04-24,85000.0,13318901.798699263,0.0,130.97,0.0,75227.08891304
Binance,BTC,2026-05-01,71000.0,0.0,-24938123.521794606,0.0,100.61,75227.08891304
Binance,BTC,2026-05-01,78000.0,23787360.61476001,0.0,73.64,0.0,75227.08891304
Binance,BTC,2026-05-01,80000.0,149813089.6283988,0.0,533.19,0.0,75227.08891304
Binance,BTC,2026-05-29,66000.0,0.0,-20716916.14466896,0.0,170.27,75227.08891304
Binance,BTC,2026-05-29,78000.0,13051972.10088598,0.0,63.24,0.0,75227.08891304
Binance,BTC,2026-05-29,82000.0,12321579.567323424,0.0,66.28,0.0,75227.08891304
Binance,BTC,2026-05-29,88000.0,12599614.146317402,0.0,100.38,0.0,75227.08891304
Binance,BTC,2026-06-26,60000.0,0.0,-34244898.470874526,0.0,494.79,75227.08891304
Binance,BTC,2026-06-26,70000.0,0.0,-15623521.450887738,0.0,117.28,75227.08891304
Binance,BTC,2026-06-26,80000.0,17235701.989544455,0.0,108.89,0.0,75227.08891304
